apellido,n_citas,corriente,nombre_canonico
Álvarez,2,no_clasificado,Álvarez
Mishkin,2,no_clasificado,Mishkin
Boero,2,no_clasificado,Boero
Christoffersen,2,no_clasificado,Christoffersen
Grossman,2,no_clasificado,Grossman
Falvey,2,no_clasificado,Falvey
Gali,2,new_keynesian,Jordi Galí
Feenstra,2,no_clasificado,Feenstra
Cover,2,no_clasificado,Cover
Céspedes,2,no_clasificado,Céspedes
Balassa,2,no_clasificado,Balassa
Percival,2,no_clasificado,Percival
Barro,2,nueva_clasica,Robert Barro
Neely,2,no_clasificado,Neely
Fujiwara,2,no_clasificado,Fujiwara
Hayo,2,no_clasificado,Hayo
Romer,2,new_keynesian,David Romer
Capistran,2,no_clasificado,Capistran
Rudebusch,2,no_clasificado,Rudebusch
Diewert,2,no_clasificado,Diewert
Flower,2,no_clasificado,Flower
Juselius,2,no_clasificado,Juselius
Mundell,2,no_clasificado,Mundell
Cook,2,no_clasificado,Cook
Coe,2,no_clasificado,Coe
Altissimo,2,no_clasificado,Altissimo
Hassler,2,no_clasificado,Hassler
Bodenstein,2,no_clasificado,Bodenstein
Orphanides,2,no_clasificado,Orphanides
Ravn,2,no_clasificado,Ravn
Mukoyama,2,no_clasificado,Mukoyama
Mortensen,2,no_clasificado,Mortensen
Merz,2,no_clasificado,Merz
Heckman,2,no_clasificado,Heckman
Hall,2,no_clasificado,Hall
Gomme,2,no_clasificado,Gomme
Fernández,2,no_clasificado,Fernández
Andolfatto,2,no_clasificado,Andolfatto
Yellen,2,no_clasificado,Yellen
Richardson,2,no_clasificado,Richardson
Primiceri,2,no_clasificado,Primiceri
Lama,2,no_clasificado,Lama
Elizondo,2,no_clasificado,Elizondo
Meza,2,no_clasificado,Meza
Getz,2,no_clasificado,Getz
Neumeyer,2,no_clasificado,Neumeyer
Barsky,2,no_clasificado,Barsky
Cuñado,2,no_clasificado,Cuñado
Capistra,2,no_clasificado,Capistra
Mian,2,no_clasificado,Mian
Kashyap,2,no_clasificado,Kashyap
Fischer,2,no_clasificado,Fischer
Freixas,2,no_clasificado,Freixas
Dixit,2,no_clasificado,Dixit
Diamond,2,no_clasificado,Diamond
Barassi,2,no_clasificado,Barassi
Peersman,2,no_clasificado,Peersman
Tobal,2,no_clasificado,Tobal
Ostry,2,no_clasificado,Ostry
Obstfeld,2,no_clasificado,Obstfeld
Goldstein,2,no_clasificado,Goldstein
Baharad,2,no_clasificado,Baharad
Beau,2,no_clasificado,Beau
Conesa,2,no_clasificado,Conesa
Moore,2,no_clasificado,Moore
Bergoeing,2,no_clasificado,Bergoeing
Cho,2,no_clasificado,Cho
Benati,2,no_clasificado,Benati
Ang,2,no_clasificado,Ang
Alberola,2,no_clasificado,Alberola
Amano,2,no_clasificado,Amano
Baillie,2,no_clasificado,Baillie
Andersen,2,no_clasificado,Andersen
Hagedorn,2,no_clasificado,Hagedorn
Fink,2,no_clasificado,Fink
Stein,2,no_clasificado,Stein
Kapetanios,2,no_clasificado,Kapetanios
Harvey,2,no_clasificado,Harvey
Blake,2,no_clasificado,Blake
Akinci,2,no_clasificado,Akinci
Wang,2,no_clasificado,Wang
Moreno,2,no_clasificado,Moreno
Herbst,2,no_clasificado,Herbst
Zivot,2,no_clasificado,Zivot
Dominguez,2,no_clasificado,Dominguez
Working,2,no_clasificado,Working
Wei,2,no_clasificado,Wei
Schroeder,2,no_clasificado,Schroeder
Samuelson,2,no_clasificado,Samuelson
Pong,2,no_clasificado,Pong
Politis,2,no_clasificado,Politis
Pelletier,2,no_clasificado,Pelletier
Kenen,2,no_clasificado,Kenen
Mohamed,2,no_clasificado,Mohamed
Markowitz,2,no_clasificado,Markowitz
Manfredo,2,no_clasificado,Manfredo
Kupiec,2,no_clasificado,Kupiec
Kavussanos,2,no_clasificado,Kavussanos
Huang,2,no_clasificado,Huang
Aguilar,2,no_clasificado,Aguilar
Aguiar,2,no_clasificado,Aguiar
Kumar,2,no_clasificado,Kumar
Garriga,2,no_clasificado,Garriga
Born,2,no_clasificado,Born
Cuadra,2,no_clasificado,Cuadra
Cingano,2,no_clasificado,Cingano
Medina,2,no_clasificado,Medina
Brown,2,no_clasificado,Brown
Hartmann,2,no_clasificado,Hartmann
Gordon,2,no_clasificado,Gordon
Borusyak,2,no_clasificado,Borusyak
Arias,2,no_clasificado,Arias
Bancode,2,no_clasificado,Bancode
Hazell,2,no_clasificado,Hazell
Davis,2,no_clasificado,Davis
Hayashi,2,no_clasificado,Hayashi
Kwiatkowski,2,no_clasificado,Kwiatkowski
Holland,2,no_clasificado,Holland
Gorodnichenko,2,no_clasificado,Gorodnichenko
Dieppe,2,no_clasificado,Dieppe
Bailliu,2,no_clasificado,Bailliu
Gelman,2,no_clasificado,Gelman
Gennaioli,2,no_clasificado,Gennaioli
Judson,2,no_clasificado,Judson
Bowdler,2,no_clasificado,Bowdler
Dickey,2,econometria,David Dickey
Kang,2,no_clasificado,Kang
Carriero,2,no_clasificado,Carriero
Boehm,2,no_clasificado,Boehm
Davies,2,no_clasificado,Davies
Kiley,2,no_clasificado,Kiley
Leyva,2,no_clasificado,Leyva
Grier,2,no_clasificado,Grier
Lombardi,2,no_clasificado,Lombardi
Berg,2,no_clasificado,Berg
Atkeson,2,no_clasificado,Atkeson
Khwaja,2,no_clasificado,Khwaja
Schwert,2,no_clasificado,Schwert
Robinson,2,heterodoxo,Joan Robinson
Wilson,2,no_clasificado,Wilson
Rajan,2,no_clasificado,Rajan
Fidrmuc,2,no_clasificado,Fidrmuc
Redl,2,no_clasificado,Redl
Bianchi,2,no_clasificado,Bianchi
Rangel,2,no_clasificado,Rangel
Phelps,2,monetarista,Edmund Phelps
Bottero,2,no_clasificado,Bottero
Leeper,2,no_clasificado,Leeper
Istrefi,2,no_clasificado,Istrefi
Armantier,2,no_clasificado,Armantier
Kiyotaki,2,no_clasificado,Kiyotaki
Caggese,2,no_clasificado,Caggese
Lewis,2,no_clasificado,Lewis
Uhlig,2,no_clasificado,Uhlig
Fitzgerald,2,no_clasificado,Fitzgerald
Balduzzi,2,no_clasificado,Balduzzi
Kamber,2,no_clasificado,Kamber
Luetkepohl,1,no_clasificado,Luetkepohl
Broida,1,no_clasificado,Broida
Daal,1,no_clasificado,Daal
Farrant,1,no_clasificado,Farrant
Duraskovic,1,no_clasificado,Duraskovic
Hickman,1,no_clasificado,Hickman
Fry,1,no_clasificado,Fry
Ishii,1,no_clasificado,Ishii
Archer,1,no_clasificado,Archer
Mussa,1,no_clasificado,Mussa
Devereux,1,no_clasificado,Devereux
Alexander,1,no_clasificado,Alexander
Hatemi,1,no_clasificado,Hatemi
Bazdresch,1,no_clasificado,Bazdresch
Runkle,1,no_clasificado,Runkle
Eisenstat,1,no_clasificado,Eisenstat
Domac,1,no_clasificado,Domac
Buiter,1,no_clasificado,Buiter
Ding,1,no_clasificado,Ding
Crone,1,no_clasificado,Crone
Cochrane,1,no_clasificado,Cochrane
Sarno,1,no_clasificado,Sarno
Easaw,1,no_clasificado,Easaw
Benford,1,no_clasificado,Benford
Berk,1,no_clasificado,Berk
Bialowolski,1,no_clasificado,Bialowolski
Bryan,1,no_clasificado,Bryan
Bachmann,1,no_clasificado,Bachmann
Corder,1,no_clasificado,Corder
Cunningham,1,no_clasificado,Cunningham
Curtin,1,no_clasificado,Curtin
Forsells,1,no_clasificado,Forsells
Bain,1,no_clasificado,Bain
Gramlich,1,no_clasificado,Gramlich
Greer,1,no_clasificado,Greer
Hanley,1,no_clasificado,Hanley
Hogg,1,no_clasificado,Hogg
Kershoff,1,no_clasificado,Kershoff
Koepsell,1,no_clasificado,Koepsell
Lyziak,1,no_clasificado,Lyziak
Malgarini,1,no_clasificado,Malgarini
Balcilar,1,no_clasificado,Balcilar
Badarinza,1,no_clasificado,Badarinza
Cosimano,1,no_clasificado,Cosimano
Gray,1,no_clasificado,Gray
Conrad,1,no_clasificado,Conrad
Bayoumi,1,no_clasificado,Bayoumi
Cekin,1,no_clasificado,Cekin
Clews,1,no_clasificado,Clews
Caglayan,1,no_clasificado,Caglayan
Calmfors,1,no_clasificado,Calmfors
Gadea,1,no_clasificado,Gadea
Devine,1,no_clasificado,Devine
Hofmann,1,no_clasificado,Hofmann
Ord,1,no_clasificado,Ord
Minford,1,no_clasificado,Minford
Ragan,1,no_clasificado,Ragan
Anselin,1,no_clasificado,Anselin
Arbia,1,no_clasificado,Arbia
Chirinko,1,no_clasificado,Chirinko
Crucini,1,no_clasificado,Crucini
Duarte,1,no_clasificado,Duarte
Glaeser,1,no_clasificado,Glaeser
Dupaigne,1,no_clasificado,Dupaigne
Vavra,1,no_clasificado,Vavra
Cerdeiro,1,no_clasificado,Cerdeiro
Perspectives,1,no_clasificado,Perspectives
Alessi,1,no_clasificado,Alessi
Angkinand,1,no_clasificado,Angkinand
Berkmen,1,no_clasificado,Berkmen
Blattman,1,no_clasificado,Blattman
Choo,1,no_clasificado,Choo
Cornelli,1,no_clasificado,Cornelli
Ghosh,1,no_clasificado,Ghosh
Girton,1,no_clasificado,Girton
Glick,1,no_clasificado,Glick
Gunther,1,no_clasificado,Gunther
Hawkins,1,no_clasificado,Hawkins
Holopainen,1,no_clasificado,Holopainen
Lawton,1,no_clasificado,Lawton
Klaassen,1,no_clasificado,Klaassen
Manasse,1,no_clasificado,Manasse
Reagle,1,no_clasificado,Reagle
Altonji,1,no_clasificado,Altonji
Abiad,1,no_clasificado,Abiad
Benhabib,1,no_clasificado,Benhabib
Carabarin,1,no_clasificado,Carabarin
Ljung,1,no_clasificado,Ljung
Baqueiro,1,no_clasificado,Baqueiro
Burnside,1,no_clasificado,Burnside
Rother,1,no_clasificado,Rother
Ilzetzki,1,no_clasificado,Ilzetzki
Ize,1,no_clasificado,Ize
Kraay,1,no_clasificado,Kraay
Neanidis,1,no_clasificado,Neanidis
Nas,1,no_clasificado,Nas
Rennhack,1,no_clasificado,Rennhack
Rodriguez,1,no_clasificado,Rodriguez
Tamirisa,1,no_clasificado,Tamirisa
Escribano,1,no_clasificado,Escribano
Mujahid,1,no_clasificado,Mujahid
Zettelmeyer,1,no_clasificado,Zettelmeyer
Ambler,1,no_clasificado,Ambler
Baffes,1,no_clasificado,Baffes
Betts,1,no_clasificado,Betts
Altunbas,1,no_clasificado,Altunbas
Claessens,1,no_clasificado,Claessens
Blonigen,1,no_clasificado,Blonigen
Hosking,1,no_clasificado,Hosking
Quint,1,no_clasificado,Quint
Townsend,1,no_clasificado,Townsend
Williams,1,no_clasificado,Williams
Yun,1,no_clasificado,Yun
Barros,1,no_clasificado,Barros
Chaumont,1,no_clasificado,Chaumont
Midrigan,1,no_clasificado,Midrigan
Nardo,1,no_clasificado,Nardo
Wulfsberg,1,no_clasificado,Wulfsberg
Amisano,1,no_clasificado,Amisano
Arbelaez,1,no_clasificado,Arbelaez
Baillieu,1,no_clasificado,Baillieu
Bassetto,1,no_clasificado,Bassetto
Aron,1,no_clasificado,Aron
Burstein,1,no_clasificado,Burstein
Kohlscheen,1,no_clasificado,Kohlscheen
Berument,1,no_clasificado,Berument
Lambertini,1,no_clasificado,Lambertini
Andreasen,1,no_clasificado,Andreasen
Jiranyakul,1,no_clasificado,Jiranyakul
Stiglitz,1,no_clasificado,Stiglitz
Giannetti,1,no_clasificado,Giannetti
Gourinchas,1,no_clasificado,Gourinchas
Holmstrom,1,no_clasificado,Holmstrom
Ioannidou,1,no_clasificado,Ioannidou
Jeon,1,no_clasificado,Jeon
Jiménez,1,no_clasificado,Jiménez
Jacks,1,no_clasificado,Jacks
Lang,1,no_clasificado,Lang
Maddaloni,1,no_clasificado,Maddaloni
Nuguer,1,no_clasificado,Nuguer
Paligorova,1,no_clasificado,Paligorova
Peek,1,no_clasificado,Peek
Rey,1,no_clasificado,Rey
Schnabl,1,no_clasificado,Schnabl
Schularick,1,no_clasificado,Schularick
Policy,1,no_clasificado,Policy
Shleifer,1,no_clasificado,Shleifer
Mestre,1,no_clasificado,Mestre
Frenkel,1,no_clasificado,Frenkel
Prasetyo,1,no_clasificado,Prasetyo
Babb,1,no_clasificado,Babb
Lagos,1,no_clasificado,Lagos
Restuccia,1,no_clasificado,Restuccia
Behera,1,no_clasificado,Behera
Elekdag,1,no_clasificado,Elekdag
Ingram,1,no_clasificado,Ingram
Koo,1,no_clasificado,Koo
Kydland,1,rbc,Finn Kydland
Otsu,1,no_clasificado,Otsu
Shin,1,no_clasificado,Shin
Bassier,1,no_clasificado,Bassier
Bargain,1,no_clasificado,Bargain
Matheson,1,no_clasificado,Matheson
Roldán,1,no_clasificado,Roldán
Sbordone,1,no_clasificado,Sbordone
Vela,1,no_clasificado,Vela
Cavanagh,1,no_clasificado,Cavanagh
Bennatti,1,no_clasificado,Bennatti
Boughton,1,no_clasificado,Boughton
Amato,1,no_clasificado,Amato
Kersting,1,no_clasificado,Kersting
Harberger,1,no_clasificado,Harberger
Farmer,1,no_clasificado,Farmer
Bharadwaj,1,no_clasificado,Bharadwaj
Daubechies,1,no_clasificado,Daubechies
Davison,1,no_clasificado,Davison
Gencay,1,no_clasificado,Gencay
Graps,1,no_clasificado,Graps
Levin,1,no_clasificado,Levin
Blanchflower,1,no_clasificado,Blanchflower
Pincheira,1,no_clasificado,Pincheira
Pivetta,1,no_clasificado,Pivetta
Sargent,1,nueva_clasica,Thomas Sargent
Erosa,1,no_clasificado,Erosa
Schleicher,1,no_clasificado,Schleicher
Walker,1,no_clasificado,Walker
Walnut,1,no_clasificado,Walnut
Whitcher,1,no_clasificado,Whitcher
Ysusi,1,no_clasificado,Ysusi
Box,1,no_clasificado,Box
Berlinski,1,no_clasificado,Berlinski
Seo,1,no_clasificado,Seo
Clemen,1,no_clasificado,Clemen
Elliott,1,no_clasificado,Elliott
Siegel,1,no_clasificado,Siegel
Birnbaum,1,no_clasificado,Birnbaum
Gruben,1,no_clasificado,Gruben
Hanson,1,no_clasificado,Hanson
Hao,1,no_clasificado,Hao
Harris,1,no_clasificado,Harris
Hendry,1,no_clasificado,Hendry
Hummels,1,no_clasificado,Hummels
Imbs,1,no_clasificado,Imbs
Koopmans,1,no_clasificado,Koopmans
Markusen,1,no_clasificado,Markusen
Ogaki,1,no_clasificado,Ogaki
Ploberger,1,no_clasificado,Ploberger
Quintos,1,no_clasificado,Quintos
Rosen,1,no_clasificado,Rosen
Ruffin,1,no_clasificado,Ruffin
Sánchez,1,no_clasificado,Sánchez
Shafaeddin,1,no_clasificado,Shafaeddin
Torres,1,no_clasificado,Torres
Tybout,1,no_clasificado,Tybout
Vargas,1,no_clasificado,Vargas
Gregory,1,no_clasificado,Gregory
Greenaway,1,no_clasificado,Greenaway
Graham,1,no_clasificado,Graham
Cervera,1,no_clasificado,Cervera
Bonham,1,no_clasificado,Bonham
Brüggemann,1,no_clasificado,Brüggemann
Carstens,1,no_clasificado,Carstens
Anderson,1,no_clasificado,Anderson
Artis,1,no_clasificado,Artis
Baier,1,no_clasificado,Baier
Baxter,1,no_clasificado,Baxter
Calderón,1,no_clasificado,Calderón
Cuevas,1,no_clasificado,Cuevas
Gonzalo,1,no_clasificado,Gonzalo
Ekanayake,1,no_clasificado,Ekanayake
Aoyama,1,no_clasificado,Aoyama
Amoroso,1,no_clasificado,Amoroso
Flood,1,no_clasificado,Flood
Fuller,1,econometria,Wayne Fuller
Gereffi,1,no_clasificado,Gereffi
Gerlach,1,no_clasificado,Gerlach
Gitli,1,no_clasificado,Gitli
Crowley,1,no_clasificado,Crowley
Chew,1,no_clasificado,Chew
Castillo,1,no_clasificado,Castillo
Aussem,1,no_clasificado,Aussem
Adolfson,1,no_clasificado,Adolfson
Bosworth,1,no_clasificado,Bosworth
Bahra,1,no_clasificado,Bahra
Bates,1,no_clasificado,Bates
Birru,1,no_clasificado,Birru
Black,1,no_clasificado,Black
Bomfim,1,no_clasificado,Bomfim
Castrén,1,no_clasificado,Castrén
Cooper,1,no_clasificado,Cooper
Evans,1,no_clasificado,Evans
Flannery,1,no_clasificado,Flannery
Garman,1,no_clasificado,Garman
Guarkaynak,1,no_clasificado,Guarkaynak
Jackwerth,1,no_clasificado,Jackwerth
Jones,1,no_clasificado,Jones
Kuttner,1,no_clasificado,Kuttner
Melick,1,no_clasificado,Melick
Micu,1,no_clasificado,Micu
Rubinstein,1,no_clasificado,Rubinstein
Meh,1,no_clasificado,Meh
Manning,1,no_clasificado,Manning
Covas,1,no_clasificado,Covas
Thornton,1,no_clasificado,Thornton
Thomas,1,no_clasificado,Thomas
Visco,1,no_clasificado,Visco
Zhou,1,no_clasificado,Zhou
Apergis,1,no_clasificado,Apergis
Buch,1,no_clasificado,Buch
Campa,1,no_clasificado,Campa
Disyatat,1,no_clasificado,Disyatat
Antonakakis,1,no_clasificado,Antonakakis
Mavroeidis,1,no_clasificado,Mavroeidis
Caruana,1,no_clasificado,Caruana
Montoro,1,no_clasificado,Montoro
Quinn,1,no_clasificado,Quinn
Rodrik,1,no_clasificado,Rodrik
Shimko,1,no_clasificado,Shimko
Tobin,1,no_clasificado,Tobin
Aikman,1,no_clasificado,Aikman
Mora,1,no_clasificado,Mora
Barrell,1,no_clasificado,Barrell
Brock,1,no_clasificado,Brock
Enfron,1,no_clasificado,Enfron
Gallo,1,no_clasificado,Gallo
Blomberg,1,no_clasificado,Blomberg
Faberman,1,no_clasificado,Faberman
Rahman,1,no_clasificado,Rahman
Eser,1,no_clasificado,Eser
Said,1,no_clasificado,Said
Valkanov,1,no_clasificado,Valkanov
Vougas,1,no_clasificado,Vougas
Aiolfi,1,no_clasificado,Aiolfi
Cerrato,1,no_clasificado,Cerrato
Dion,1,no_clasificado,Dion
Nielsen,1,no_clasificado,Nielsen
Giacomini,1,no_clasificado,Giacomini
Breitung,1,no_clasificado,Breitung
Leybourne,1,no_clasificado,Leybourne
Andreou,1,no_clasificado,Andreou
Bauwens,1,no_clasificado,Bauwens
Berndtand,1,no_clasificado,Berndtand
Caporale,1,no_clasificado,Caporale
Addison,1,no_clasificado,Addison
Papell,1,no_clasificado,Papell
Muscatelli,1,no_clasificado,Muscatelli
Susmel,1,no_clasificado,Susmel
Vilmunen,1,no_clasificado,Vilmunen
Bakhshi,1,no_clasificado,Bakhshi
Bentancor,1,no_clasificado,Bentancor
Baudry,1,no_clasificado,Baudry
Caplin,1,no_clasificado,Caplin
Dotsey,1,no_clasificado,Dotsey
Hoffmann,1,no_clasificado,Hoffmann
Jonker,1,no_clasificado,Jonker
Peltzman,1,no_clasificado,Peltzman
Assaf,1,no_clasificado,Assaf
Murray,1,no_clasificado,Murray
Caner,1,no_clasificado,Caner
Coenen,1,no_clasificado,Coenen
Davidson,1,heterodoxo,Paul Davidson
Darne,1,no_clasificado,Darne
Fisher,1,no_clasificado,Fisher
Haldrup,1,no_clasificado,Haldrup
Herrndorf,1,no_clasificado,Herrndorf
Maslyuk,1,no_clasificado,Maslyuk
Arteta,1,no_clasificado,Arteta
Polivka,1,no_clasificado,Polivka
Tsay,1,no_clasificado,Tsay
Coelho,1,no_clasificado,Coelho
Hatzius,1,no_clasificado,Hatzius
Jovanovic,1,no_clasificado,Jovanovic
Jurado,1,no_clasificado,Jurado
Koenker,1,no_clasificado,Koenker
Koop,1,no_clasificado,Koop
Lloyd,1,no_clasificado,Lloyd
Ortiz,1,no_clasificado,Ortiz
Perojo,1,no_clasificado,Perojo
Aiyagari,1,no_clasificado,Aiyagari
Huber,1,no_clasificado,Huber
Cheng,1,no_clasificado,Cheng
Cóndor,1,no_clasificado,Cóndor
Favilukis,1,no_clasificado,Favilukis
Guvenen,1,no_clasificado,Guvenen
Hubmer,1,no_clasificado,Hubmer
Huggett,1,no_clasificado,Huggett
Jeske,1,no_clasificado,Jeske
Justiniano,1,no_clasificado,Justiniano
Kaplan,1,no_clasificado,Kaplan
Gieseck,1,no_clasificado,Gieseck
Cebreros,1,no_clasificado,Cebreros
Bonciani,1,no_clasificado,Bonciani
Griffioen,1,no_clasificado,Griffioen
Cermeño,1,no_clasificado,Cermeño
Cantú,1,no_clasificado,Cantú
Abdul,1,no_clasificado,Abdul
Coronado,1,no_clasificado,Coronado
Dixon,1,no_clasificado,Dixon
Siemer,1,no_clasificado,Siemer
Glassock,1,no_clasificado,Glassock
Gouvea,1,no_clasificado,Gouvea
Higo,1,no_clasificado,Higo
Ivashina,1,no_clasificado,Ivashina
Rivadeneira,1,no_clasificado,Rivadeneira
Julio,1,no_clasificado,Julio
Konny,1,no_clasificado,Konny
Macias,1,no_clasificado,Macias
Rafael,1,no_clasificado,Rafael
Petersen,1,no_clasificado,Petersen
Aquino,1,no_clasificado,Aquino
Badillo,1,no_clasificado,Badillo
Kaymak,1,no_clasificado,Kaymak
Hochfellner,1,no_clasificado,Hochfellner
Storesletten,1,no_clasificado,Storesletten
Liu,1,no_clasificado,Liu
Costello,1,no_clasificado,Costello
Henriksen,1,no_clasificado,Henriksen
Hyndman,1,no_clasificado,Hyndman
Hyvonen,1,no_clasificado,Hyvonen
Jackson,1,no_clasificado,Jackson
Kagraoka,1,no_clasificado,Kagraoka
Karagedikli,1,no_clasificado,Karagedikli
Lane,1,no_clasificado,Lane
Melitz,1,no_clasificado,Melitz
Ghysels,1,no_clasificado,Ghysels
Mumtaz,1,no_clasificado,Mumtaz
Colombo,1,no_clasificado,Colombo
Noria,1,no_clasificado,Noria
Parker,1,no_clasificado,Parker
Qin,1,no_clasificado,Qin
Busso,1,no_clasificado,Busso
Rogoff,1,no_clasificado,Rogoff
Smales,1,no_clasificado,Smales
