apellido,n_citas,corriente,nombre_canonico
Hakkio,1,no_clasificado,Hakkio
Freitas,1,no_clasificado,Freitas
Hannan,1,no_clasificado,Hannan
Bartsch,1,no_clasificado,Bartsch
Abdi,1,no_clasificado,Abdi
Armenda,1,no_clasificado,Armenda
Bhattarai,1,no_clasificado,Bhattarai
Haltiwanger,1,no_clasificado,Haltiwanger
Gutierrez,1,no_clasificado,Gutierrez
Greenwald,1,no_clasificado,Greenwald
Arestis,1,no_clasificado,Arestis
Bagliano,1,no_clasificado,Bagliano
Greenstone,1,no_clasificado,Greenstone
Eickmeier,1,no_clasificado,Eickmeier
Bouoiyour,1,no_clasificado,Bouoiyour
Bouras,1,no_clasificado,Bouras
Bruno,1,no_clasificado,Bruno
Granja,1,no_clasificado,Granja
Chadwick,1,no_clasificado,Chadwick
Ciccarelli,1,no_clasificado,Ciccarelli
Gambetti,1,no_clasificado,Gambetti
Elyasiani,1,no_clasificado,Elyasiani
Shapiro,1,no_clasificado,Shapiro
Hernández,1,no_clasificado,Hernández
Berton,1,no_clasificado,Berton
Hartwig,1,no_clasificado,Hartwig
Rotemberg,1,new_keynesian,Julio Rotemberg
Stantcheva,1,no_clasificado,Stantcheva
Afrouzi,1,no_clasificado,Afrouzi
Ponce,1,no_clasificado,Ponce
Weber,1,no_clasificado,Weber
Wiederholt,1,no_clasificado,Wiederholt
Sotelo,1,no_clasificado,Sotelo
Owyang,1,no_clasificado,Owyang
Kondo,1,no_clasificado,Kondo
Heath,1,no_clasificado,Heath
Esquivel,1,no_clasificado,Esquivel
Carrera,1,no_clasificado,Carrera
Carter,1,no_clasificado,Carter
Bry,1,no_clasificado,Bry
Kalbfleisch,1,no_clasificado,Kalbfleisch
Kiefer,1,no_clasificado,Kiefer
Caceres,1,no_clasificado,Caceres
Breitenlechner,1,no_clasificado,Breitenlechner
Luo,1,no_clasificado,Luo
Ramey,1,no_clasificado,Ramey
Pedemonte,1,no_clasificado,Pedemonte
Nimark,1,no_clasificado,Nimark
Brockwell,1,no_clasificado,Brockwell
Chahrour,1,no_clasificado,Chahrour
Crump,1,no_clasificado,Crump
Detmeister,1,no_clasificado,Detmeister
Durbin,1,no_clasificado,Durbin
Gabaix,1,no_clasificado,Gabaix
Gaballo,1,no_clasificado,Gaballo
Gagliardone,1,no_clasificado,Gagliardone
Candia,1,no_clasificado,Candia
Gallegos,1,no_clasificado,Gallegos
Akerlof,1,no_clasificado,Akerlof
Gáti,1,no_clasificado,Gáti
Hellwig,1,no_clasificado,Hellwig
Jonung,1,no_clasificado,Jonung
Kuchler,1,no_clasificado,Kuchler
Lorenzoni,1,no_clasificado,Lorenzoni
Axelrod,1,no_clasificado,Axelrod
Mackowiak,1,no_clasificado,Mackowiak
Malmendier,1,no_clasificado,Malmendier
Baek,1,no_clasificado,Baek
Algaba,1,no_clasificado,Algaba
Anderes,1,no_clasificado,Anderes
Gambacorta,1,no_clasificado,Gambacorta
Havranek,1,no_clasificado,Havranek
Tarkka,1,no_clasificado,Tarkka
Tobback,1,no_clasificado,Tobback
Ullrich,1,no_clasificado,Ullrich
Zou,1,no_clasificado,Zou
Golodniuk,1,no_clasificado,Golodniuk
Cortes,1,no_clasificado,Cortes
Debreu,1,no_clasificado,Debreu
Fetzer,1,no_clasificado,Fetzer
Pedersen,1,no_clasificado,Pedersen
Fernandez,1,no_clasificado,Fernandez
Hobijn,1,no_clasificado,Hobijn
Marco,1,no_clasificado,Marco
Bari,1,no_clasificado,Bari
Brinca,1,no_clasificado,Brinca
Chavarín,1,no_clasificado,Chavarín
Consolo,1,no_clasificado,Consolo
Foroni,1,no_clasificado,Foroni
Kamin,1,no_clasificado,Kamin
Naszodi,1,no_clasificado,Naszodi
Baranowski,1,no_clasificado,Baranowski
Gamber,1,no_clasificado,Gamber
Andrade,1,no_clasificado,Andrade
Bholat,1,no_clasificado,Bholat
Blei,1,no_clasificado,Blei
Suzuki,1,no_clasificado,Suzuki
Sáiz,1,no_clasificado,Sáiz
Ehrmann,1,no_clasificado,Ehrmann
Fracasso,1,no_clasificado,Fracasso
Mateut,1,no_clasificado,Mateut
Gardner,1,no_clasificado,Gardner
Morris,1,no_clasificado,Morris
Gersbach,1,no_clasificado,Gersbach
Lecuona,1,no_clasificado,Lecuona
Hattori,1,no_clasificado,Hattori
Leblebicioglu,1,no_clasificado,Leblebicioglu
Jain,1,no_clasificado,Jain
Jung,1,no_clasificado,Jung
Lustenberger,1,no_clasificado,Lustenberger
Montes,1,no_clasificado,Montes
Vega,1,no_clasificado,Vega
Zhang,1,no_clasificado,Zhang
Andrés,1,no_clasificado,Andrés
Restrepo,1,no_clasificado,Restrepo
Srinivasan,1,no_clasificado,Srinivasan
Anaya,1,no_clasificado,Anaya
Basdevant,1,no_clasificado,Basdevant
Gros,1,no_clasificado,Gros
Bernhardsen,1,no_clasificado,Bernhardsen
Caballero,1,no_clasificado,Caballero
Cuaresma,1,no_clasificado,Cuaresma
Dorich,1,no_clasificado,Dorich
Gerali,1,no_clasificado,Gerali
Fratzscher,1,no_clasificado,Fratzscher
Fries,1,no_clasificado,Fries
Garnier,1,no_clasificado,Garnier
Holston,1,no_clasificado,Holston
Johannsen,1,no_clasificado,Johannsen
King,1,new_keynesian,Robert King
Kocherlakota,1,no_clasificado,Kocherlakota
Krippner,1,no_clasificado,Krippner
Gallegati,1,no_clasificado,Gallegati
Mesonnier,1,no_clasificado,Mesonnier
Shierholz,1,no_clasificado,Shierholz
Schweitzer,1,no_clasificado,Schweitzer
Lazear,1,no_clasificado,Lazear
Camarero,1,no_clasificado,Camarero
Kraus,1,no_clasificado,Kraus
Kirchner,1,no_clasificado,Kirchner
Inchauspe,1,no_clasificado,Inchauspe
Papageorgiou,1,no_clasificado,Papageorgiou
Rogerson,1,no_clasificado,Rogerson
Aaronson,1,no_clasificado,Aaronson
Aguila,1,no_clasificado,Aguila
Balleer,1,no_clasificado,Balleer
Cutler,1,no_clasificado,Cutler
Juarez,1,no_clasificado,Juarez
Davalos,1,no_clasificado,Davalos
Dell,1,no_clasificado,Dell
Duval,1,no_clasificado,Duval
Iacoviello,1,no_clasificado,Iacoviello
Fernald,1,no_clasificado,Fernald
Fussell,1,no_clasificado,Fussell
Hotchkiss,1,no_clasificado,Hotchkiss
Jaumotte,1,no_clasificado,Jaumotte
Perrelli,1,no_clasificado,Perrelli
Pescatori,1,no_clasificado,Pescatori
Favero,1,no_clasificado,Favero
Stewart,1,no_clasificado,Stewart
Ando,1,no_clasificado,Ando
Frazis,1,no_clasificado,Frazis
Hopenhayn,1,no_clasificado,Hopenhayn
Kambourov,1,no_clasificado,Kambourov
Kroft,1,no_clasificado,Kroft
Mitman,1,no_clasificado,Mitman
Pissarides,1,no_clasificado,Pissarides
Chetty,1,no_clasificado,Chetty
Topkis,1,no_clasificado,Topkis
Schneider,1,no_clasificado,Schneider
Aastveit,1,no_clasificado,Aastveit
Abeysinghe,1,no_clasificado,Abeysinghe
Afonso,1,no_clasificado,Afonso
Cologni,1,no_clasificado,Cologni
Herrera,1,no_clasificado,Herrera
Mork,1,no_clasificado,Mork
Valera,1,no_clasificado,Valera
Segal,1,no_clasificado,Segal
Bowler,1,no_clasificado,Bowler
Bocola,1,no_clasificado,Bocola
Rachel,1,no_clasificado,Rachel
Crosignani,1,no_clasificado,Crosignani
Eller,1,no_clasificado,Eller
Tillmann,1,no_clasificado,Tillmann
Winter,1,no_clasificado,Winter
Dungey,1,no_clasificado,Dungey
Washington,1,no_clasificado,Washington
Albrecht,1,no_clasificado,Albrecht
Amaral,1,no_clasificado,Amaral
Demirel,1,no_clasificado,Demirel
Boz,1,no_clasificado,Boz
Bofondi,1,no_clasificado,Bofondi
Christensen,1,no_clasificado,Christensen
Chadha,1,no_clasificado,Chadha
Caldara,1,no_clasificado,Caldara
Horvath,1,no_clasificado,Horvath
Leal,1,no_clasificado,Leal
Broner,1,no_clasificado,Broner
México,1,no_clasificado,México
Bolton,1,no_clasificado,Bolton
Coeff,1,no_clasificado,Coeff
Peterson,1,no_clasificado,Peterson
Auel,1,no_clasificado,Auel
Meghir,1,no_clasificado,Meghir
Giannoni,1,no_clasificado,Giannoni
Ferrante,1,no_clasificado,Ferrante
Gal,1,no_clasificado,Gal
Albanesi,1,no_clasificado,Albanesi
Hooper,1,no_clasificado,Hooper
Kareken,1,no_clasificado,Kareken
Leitemo,1,no_clasificado,Leitemo
Abrahams,1,no_clasificado,Abrahams
Abadie,1,no_clasificado,Abadie
Albagli,1,no_clasificado,Albagli
Shousha,1,no_clasificado,Shousha
Peter,1,no_clasificado,Peter
Adams,1,no_clasificado,Adams
Kohn,1,no_clasificado,Kohn
Jaimovich,1,no_clasificado,Jaimovich
Gallant,1,no_clasificado,Gallant
Holden,1,no_clasificado,Holden
Heathcote,1,no_clasificado,Heathcote
Stroud,1,no_clasificado,Stroud
Bilbiie,1,no_clasificado,Bilbiie
Beqiraj,1,no_clasificado,Beqiraj
Bajzik,1,no_clasificado,Bajzik
Hwang,1,no_clasificado,Hwang
Barnea,1,no_clasificado,Barnea
Bentolila,1,no_clasificado,Bentolila
Bleaney,1,no_clasificado,Bleaney
Brei,1,no_clasificado,Brei
Epstain,1,no_clasificado,Epstain
Benmelech,1,no_clasificado,Benmelech
Favara,1,no_clasificado,Favara
Barone,1,no_clasificado,Barone
Jermann,1,no_clasificado,Jermann
Stona,1,no_clasificado,Stona
Kara,1,no_clasificado,Kara
Merton,1,no_clasificado,Merton
Mody,1,no_clasificado,Mody
Morais,1,no_clasificado,Morais
Okimoto,1,no_clasificado,Okimoto
Philippon,1,no_clasificado,Philippon
Amiti,1,no_clasificado,Amiti
Alfaro,1,no_clasificado,Alfaro
Werner,1,no_clasificado,Werner
Acosta-,1,no_clasificado,Acosta-
Greenwood,1,no_clasificado,Greenwood
Shao,1,no_clasificado,Shao
Alquist,1,no_clasificado,Alquist
Allcott,1,no_clasificado,Allcott
Aguirregabiria,1,no_clasificado,Aguirregabiria
Reichlin,1,no_clasificado,Reichlin
Poon,1,no_clasificado,Poon
Podstawski,1,no_clasificado,Podstawski
Picarelli,1,no_clasificado,Picarelli
Perotti,1,no_clasificado,Perotti
Palmen,1,no_clasificado,Palmen
Mader,1,no_clasificado,Mader
Murai,1,no_clasificado,Murai
Mountford,1,no_clasificado,Mountford
Esfahani,1,no_clasificado,Esfahani
Fajnzylber,1,no_clasificado,Fajnzylber
Fiess,1,no_clasificado,Fiess
Gasparini,1,no_clasificado,Gasparini
Merler,1,no_clasificado,Merler
Liaqat,1,no_clasificado,Liaqat
Atalay,1,no_clasificado,Atalay
Backus,1,no_clasificado,Backus
Goncalves,1,no_clasificado,Goncalves
Brainard,1,no_clasificado,Brainard
Basu,1,no_clasificado,Basu
Fajgelbaum,1,no_clasificado,Fajgelbaum
Bobeica,1,no_clasificado,Bobeica
Bresciani-,1,no_clasificado,Bresciani-
Corden,1,no_clasificado,Corden
Charnavoki,1,no_clasificado,Charnavoki
Castle,1,no_clasificado,Castle
Airaudo,1,no_clasificado,Airaudo
Branch,1,no_clasificado,Branch
Kosowski,1,no_clasificado,Kosowski
Cashin,1,no_clasificado,Cashin
Chkili,1,no_clasificado,Chkili
Bown,1,no_clasificado,Bown
Efron,1,no_clasificado,Efron
Berkowitz,1,no_clasificado,Berkowitz
Benguria,1,no_clasificado,Benguria
Barrot,1,no_clasificado,Barrot
Barattieri,1,no_clasificado,Barattieri
Warner,1,no_clasificado,Warner
