clave_paper,tema
1982-51,Macroeconomía: Inflación
1982-50,Macroeconomía: Inflación
1982-50,Econometría y Estadística
1982-49,Macroeconomía: Inflación
1982-49,Econometría y Estadística
1982-48,Macroeconomía: Inflación
1982-48,Econometría y Estadística
1982-47,Economía Internacional
1982-46,Finanzas
1982-45,Finanzas
1981-44,Macroeconomía: Crecimiento y Desarrollo
1981-43,Economía Internacional
1981-43,Finanzas
1981-42,Macroeconomía: Economía Monetaria
1981-41,Finanzas
1981-40,Macroeconomía: Economía Monetaria
1981-39,Finanzas
1981-38,Macroeconomía: Crecimiento y Desarrollo
1981-37,Macroeconomía: Crecimiento y Desarrollo
1981-37,Macroeconomía: Crecimiento y Desarrollo
1981-37,Macroeconomía: Crecimiento y Desarrollo
1981-37,Macroeconomía: Crecimiento y Desarrollo
1981-36,Finanzas
1981-35,Otros
1981-34,Finanzas
1981-33,Economía pública
1981-33,Econometría y Estadística
1981-32,Econometría y Estadística
1980-31,Macroeconomía: Crecimiento y Desarrollo
1980-30,Macroeconomía: Economía Monetaria
1980-29,Microeconomía: Competencia
1980-28,Macroeconomía: Economía Monetaria
1980-27,Econometría y Estadística
1980-26,Economía Internacional
1980-26,Econometría y Estadística
1980-25,Finanzas
1980-24,Economía Internacional
1980-24,Economía Laboral
1980-23,Macroeconomía: Economía Monetaria
1980-23,Econometría y Estadística
1980-22,Econometría y Estadística
1980-21,Otros
1980-20,Finanzas
1980-19,Macroeconomía: Crecimiento y Desarrollo
1980-19,Macroeconomía: Inflación
1980-18,Macroeconomía: Economía Monetaria
1980-18,Macroeconomía: Crecimiento y Desarrollo
1980-18,Macroeconomía: Inflación
1980-17,Economía Internacional
1980-16,Macroeconomía: Crecimiento y Desarrollo
1979-15,Macroeconomía: Inflación
1979-14,Macroeconomía: Crecimiento y Desarrollo
1979-14,Economía Internacional
1979-13,Macroeconomía: Economía Monetaria
1979-12,Macroeconomía: Crecimiento y Desarrollo
1979-12,Economía pública
1979-11,Economía pública
1979-10,Macroeconomía: Crecimiento y Desarrollo
1979-10,Economía pública
1979-09,Macroeconomía: Inflación
1979-09,Economía Internacional
1979-08,Microeconomía: Competitividad
1979-08,Economía pública
1979-07,Economía Internacional
1979-07,Econometría y Estadística
1979-06,Otros
1979-05,Macroeconomía: Economía Monetaria
1979-05,Macroeconomía: Crecimiento y Desarrollo
1978-04,Econometría y Estadística
1978-03,Economía pública
1978-02,Economía pública
1978-01,Macroeconomía: Economía Monetaria
1978-01,Finanzas
