clave_paper,tema
2020-16,Macroeconomía: Economía Monetaria
2020-16,Macroeconomía: Inflación
2020-16,Econometría y Estadística
2020-15,Economía pública
2020-15,Otros
2020-14,Economía Internacional
2020-13,Macroeconomía: Crecimiento y Desarrollo
2020-13,Otros
2020-12,Macroeconomía: Economía Monetaria
2020-12,Macroeconomía: Inflación
2020-11,Finanzas
2020-11,Otros
2020-10,Finanzas
2020-10,Econometría y Estadística
2020-09,Economía Laboral
2020-08,Economía Internacional
2020-07,Macroeconomía: Crecimiento y Desarrollo
2020-07,Economía Internacional
2020-07,Economía Laboral
2020-07,Otros
2020-06,Macroeconomía: Crecimiento y Desarrollo
2020-06,Microeconomía: Competitividad
2020-06,Economía Internacional
2020-05,Economía Laboral
2020-05,Economía pública
2020-04,Economía Laboral
2020-03,Otros
2020-02,Macroeconomía: Economía Monetaria
2020-02,Economía Internacional
2020-02,Econometría y Estadística
2020-01,Finanzas
2020-01,Econometría y Estadística
2019-21,Otros
2019-20,Otros
2019-19,Macroeconomía: Inflación
2019-18,Macroeconomía: Economía Monetaria
2019-18,Macroeconomía: Inflación
2019-17,Macroeconomía: Inflación
2019-16,Macroeconomía: Economía Monetaria
2019-16,Macroeconomía: Inflación
2019-16,Econometría y Estadística
2019-15,Macroeconomía: Crecimiento y Desarrollo
2019-15,Economía Internacional
2019-15,Economía Laboral
2019-14,Microeconomía: Competencia
2019-13,Economía Laboral
2019-13,Economía pública
2019-12,Finanzas
2019-12,Econometría y Estadística
2019-12,Otros
2019-11,Economía Internacional
2019-11,Otros
2019-10,Macroeconomía: Inflación
2019-10,Economía Internacional
2019-09,Macroeconomía: Economía Monetaria
2019-08,Economía pública
2019-08,Finanzas
2019-07,Macroeconomía: Crecimiento y Desarrollo
2019-06,Macroeconomía: Crecimiento y Desarrollo
2019-06,Microeconomía: Competitividad
2019-06,Economía Internacional
2019-05,Economía Internacional
2019-04,Economía Laboral
2019-03,Macroeconomía: Economía Monetaria
2019-03,Microeconomía: Competencia
2019-03,Econometría y Estadística
2019-02,Economía Internacional
2019-01,Economía Internacional
2019-01,Finanzas
2018-27,Macroeconomía: Economía Monetaria
2018-27,Economía Internacional
2018-27,Finanzas
2018-26,Macroeconomía: Crecimiento y Desarrollo
2018-25,Microeconomía: Competitividad
2018-25,Economía Laboral
2018-24,Macroeconomía: Crecimiento y Desarrollo
2018-24,Microeconomía: Competitividad
2018-24,Economía Internacional
2018-23,Otros
2018-22,Macroeconomía: Economía Monetaria
2018-22,Econometría y Estadística
2018-21,Macroeconomía: Economía Monetaria
2018-21,Macroeconomía: Inflación
2018-20,Macroeconomía: Inflación
2018-19,Economía Internacional
2018-19,Economía Laboral
2018-18,Macroeconomía: Economía Monetaria
2018-18,Macroeconomía: Inflación
2018-17,Econometría y Estadística
2018-17,Otros
2018-16,Macroeconomía: Economía Monetaria
2018-16,Finanzas
2018-16,Econometría y Estadística
2018-15,Economía Internacional
2018-14,Macroeconomía: Crecimiento y Desarrollo
2018-14,Economía Laboral
2018-14,Finanzas
2018-13,Economía Laboral
2018-12,Microeconomía: Competitividad
2018-09,Macroeconomía: Crecimiento y Desarrollo
2018-09,Macroeconomía: Inflación
2018-09,Econometría y Estadística
2018-07,Macroeconomía: Crecimiento y Desarrollo
2018-07,Econometría y Estadística
2018-06,Macroeconomía: Economía Monetaria
2018-06,Econometría y Estadística
2018-04,Economía Internacional
2018-04,Finanzas
2018-03,Economía Internacional
2018-02,Economía Laboral
2018-02,Finanzas
2018-02,Otros
2018-01,Economía Internacional
2017-18,Economía Internacional
2017-17,Macroeconomía: Crecimiento y Desarrollo
2017-17,Finanzas
2017-17,Econometría y Estadística
2017-14,Macroeconomía: Crecimiento y Desarrollo
2017-14,Microeconomía: Competencia
2017-13,Macroeconomía: Crecimiento y Desarrollo
2017-13,Otros
2017-12,Microeconomía: Competitividad
2017-12,Otros
2017-11,Macroeconomía: Economía Monetaria
2017-11,Econometría y Estadística
2017-10,Macroeconomía: Economía Monetaria
2017-09,Macroeconomía: Crecimiento y Desarrollo
2017-09,Otros
2017-08,Macroeconomía: Crecimiento y Desarrollo
2017-07,Econometría y Estadística
2017-06,Macroeconomía: Economía Monetaria
2017-05,Macroeconomía: Economía Monetaria
2017-05,Economía Internacional
2017-05,Finanzas
2017-04,Economía Internacional
2017-04,Economía pública
2017-03,Macroeconomía: Crecimiento y Desarrollo
2017-03,Microeconomía: Competencia
2017-03,Economía Internacional
2017-03,Economía Laboral
2017-02,Macroeconomía: Economía Monetaria
2017-02,Economía Internacional
2017-02,Finanzas
2017-01,Economía Internacional
2017-01,Economía Laboral
2016-23,Economía Laboral
2016-22,Macroeconomía: Economía Monetaria
2016-22,Macroeconomía: Inflación
2016-22,Finanzas
2016-22,Econometría y Estadística
2016-21,Macroeconomía: Inflación
2016-20,Macroeconomía: Economía Monetaria
2016-20,Macroeconomía: Inflación
2016-20,Econometría y Estadística
2016-19,Microeconomía: Competitividad
2016-19,Economía Laboral
2016-18,Microeconomía: Competencia
2016-18,Otros
2016-17,Macroeconomía: Crecimiento y Desarrollo
2016-16,Economía pública
2016-16,Otros
2016-15,Macroeconomía: Crecimiento y Desarrollo
2016-15,Economía Internacional
2016-14,Macroeconomía: Economía Monetaria
2016-14,Macroeconomía: Inflación
2016-14,Economía Internacional
2016-13,Macroeconomía: Inflación
2016-12,Finanzas
2016-12,Econometría y Estadística
2016-11,Finanzas
2016-11,Econometría y Estadística
2016-10,Macroeconomía: Crecimiento y Desarrollo
2016-10,Microeconomía: Competitividad
2016-10,Economía pública
2016-09,Macroeconomía: Crecimiento y Desarrollo
2016-08,Economía Internacional
2016-08,Econometría y Estadística
2016-08,Otros
2016-07,Economía Laboral
2016-07,Economía pública
2016-06,Economía Internacional
2016-05,Economía Internacional
2016-05,Economía Laboral
2016-04,Macroeconomía: Inflación
2016-04,Econometría y Estadística
2016-03,Econometría y Estadística
2016-02,Econometría y Estadística
2016-01,Econometría y Estadística
2015-25,Economía Laboral
2015-24,Macroeconomía: Crecimiento y Desarrollo
2015-24,Microeconomía: Competitividad
2015-23,Macroeconomía: Crecimiento y Desarrollo
2015-22,Economía Laboral
2015-21,Finanzas
2015-21,Econometría y Estadística
2015-20,Economía Internacional
2015-20,Finanzas
2015-19,Otros
2015-18,Macroeconomía: Economía Monetaria
2015-18,Econometría y Estadística
2015-17,Finanzas
2015-17,Econometría y Estadística
2015-17,Otros
2015-16,Otros
2015-15,Microeconomía: Competitividad
2015-15,Economía Internacional
2015-14,Macroeconomía: Economía Monetaria
2015-14,Macroeconomía: Inflación
2015-14,Econometría y Estadística
2015-13,Macroeconomía: Economía Monetaria
2015-13,Macroeconomía: Inflación
2015-13,Econometría y Estadística
2015-12,Otros
2015-11,Finanzas
2015-10,Economía Internacional
2015-09,Economía pública
2015-08,Macroeconomía: Economía Monetaria
2015-08,Economía Internacional
2015-08,Finanzas
2015-08,Otros
2015-07,Economía Internacional
2015-07,Otros
2015-06,Microeconomía: Competitividad
2015-05,Economía Internacional
2015-04,Macroeconomía: Crecimiento y Desarrollo
2015-04,Economía Laboral
2015-03,Economía Internacional
2015-03,Finanzas
2015-03,Econometría y Estadística
2015-02,Economía Laboral
2015-02,Otros
2015-01,Macroeconomía: Crecimiento y Desarrollo
2015-01,Econometría y Estadística
2014-27,Finanzas
2014-27,Econometría y Estadística
2014-26,Economía Laboral
2014-25,Macroeconomía: Crecimiento y Desarrollo
2014-25,Microeconomía: Competencia
2014-25,Microeconomía: Competitividad
2014-24,Macroeconomía: Crecimiento y Desarrollo
2014-24,Economía Laboral
2014-23,Finanzas
2014-23,Econometría y Estadística
2014-22,Economía Laboral
2014-21,Economía Laboral
2014-21,Econometría y Estadística
2014-20,Economía Laboral
2014-20,Econometría y Estadística
2014-19,Otros
2014-18,Microeconomía: Competencia
2014-17,Macroeconomía: Economía Monetaria
2014-17,Macroeconomía: Crecimiento y Desarrollo
2014-16,Macroeconomía: Crecimiento y Desarrollo
2014-16,Econometría y Estadística
2014-15,Economía Internacional
2014-15,Economía pública
2014-15,Econometría y Estadística
2014-14,Macroeconomía: Crecimiento y Desarrollo
2014-14,Economía Internacional
2014-13,Econometría y Estadística
2014-12,Economía Laboral
2014-12,Economía pública
2014-11,Macroeconomía: Economía Monetaria
2014-11,Finanzas
2014-11,Econometría y Estadística
2014-10,Economía Internacional
2014-09,Macroeconomía: Economía Monetaria
2014-09,Economía Internacional
2014-09,Econometría y Estadística
2014-08,Economía Laboral
2014-07,Economía Laboral
2014-07,Economía pública
2014-07,Econometría y Estadística
2014-06,Economía Internacional
2014-05,Economía Laboral
2014-04,Econometría y Estadística
2014-03,Finanzas
2014-02,Otros
2014-01,Macroeconomía: Economía Monetaria
2013-24,Macroeconomía: Crecimiento y Desarrollo
2013-23,Microeconomía: Competencia
2013-23,Finanzas
2013-23,Otros
2013-22,Macroeconomía: Crecimiento y Desarrollo
2013-22,Economía Laboral
2013-22,Finanzas
2013-21,Microeconomía: Competencia
2013-21,Finanzas
